index,Teacher_ID,SchoolCode,Year,Semester,Subjects_Taught,Grades_Taught,NumSectionsPerGrade,PayPerSection,StudentEnrollment
37,001,MS,2020,Fall,Biology,G1,3,9955,19
74,001,MS,2018,Spring,"Physics,Mathematics,Biology,Chemistry",G1,3,7603,35
66,002,GP,2018,Spring,"Physics,Biology",G2,3,4564,34
86,002,PI,2019,Fall,"Mathematics,Biology,Physics",G4,1,8887,7
128,003,MS,2023,Spring,"Mathematics,Biology,Chemistry",G1,1,10699,13
33,004,BV,2018,Fall,"Mathematics,Physics,Biology,Chemistry",G1,2,8456,15
46,004,PI,2019,Fall,"Chemistry,Biology",G4,1,7727,29
96,006,MS,2020,Spring,"Physics,Mathematics,Biology",G3,3,6019,21
98,006,MS,2019,Spring,"Biology,Physics,Chemistry,Mathematics",G4,1,4803,35
154,006,BV,2022,Fall,"Physics,Mathematics,Biology",G2,3,8041,15
197,006,BV,2021,Spring,"Chemistry,Mathematics",G3,3,7370,40
13,007,PI,2022,Fall,Mathematics,G2,3,9018,10
35,007,MS,2018,Fall,"Physics,Chemistry",G2,3,9707,36
67,007,PI,2022,Spring,"Chemistry,Physics,Biology,Mathematics",G2,2,10026,35
125,007,MS,2021,Fall,"Physics,Chemistry,Mathematics",G3,3,7414,27
147,007,GP,2018,Fall,"Biology,Mathematics,Physics,Chemistry",G2,2,10438,11
127,008,MS,2022,Spring,"Mathematics,Chemistry,Biology,Physics",G2,3,8211,21
184,008,BV,2023,Fall,"Physics,Chemistry,Mathematics,Biology",G1,3,10331,32
186,008,MS,2021,Fall,Biology,G3,1,6810,16
16,009,MS,2019,Fall,"Biology,Chemistry,Mathematics",G1,2,6006,35
133,009,PI,2023,Fall,"Chemistry,Mathematics,Physics",G4,2,4229,36
90,010,MS,2023,Spring,"Biology,Physics,Chemistry,Mathematics",G3,3,5737,6
112,010,GP,2021,Fall,"Biology,Chemistry,Mathematics",G4,2,10296,18
138,010,GP,2019,Spring,Physics,G2,3,8480,21
53,011,BV,2021,Fall,"Biology,Mathematics",G4,3,10301,16
84,011,MS,2023,Fall,"Physics,Mathematics,Biology,Chemistry",G1,3,6768,14
48,012,MS,2021,Fall,"Mathematics,Chemistry",G3,1,5779,26
174,012,BV,2021,Fall,"Biology,Chemistry,Physics,Mathematics",G4,1,6709,15
2,013,MS,2023,Spring,"Biology,Chemistry,Physics,Mathematics",G2,3,8336,28
43,013,PI,2021,Fall,"Physics,Mathematics,Chemistry",G2,3,4500,5
88,013,MS,2021,Fall,Physics,G2,2,9357,37
39,014,GP,2019,Fall,"Chemistry,Mathematics,Biology,Physics",G4,1,6848,21
120,014,MS,2021,Fall,"Biology,Mathematics,Physics,Chemistry",G3,1,7409,31
164,014,BV,2020,Fall,"Chemistry,Mathematics,Biology",G2,3,7987,8
30,015,GP,2020,Spring,Physics,G4,3,4345,23
61,016,GP,2023,Spring,Biology,G4,1,9779,24
160,016,PI,2023,Fall,"Mathematics,Physics",G4,2,6047,16
193,016,BV,2021,Fall,"Physics,Chemistry",G2,3,4936,37
76,017,PI,2022,Fall,"Biology,Chemistry,Physics",G2,3,6576,28
173,017,PI,2020,Spring,"Chemistry,Mathematics,Physics,Biology",G2,3,9129,31
99,018,GP,2019,Fall,Chemistry,G3,2,7786,7
101,018,MS,2018,Spring,"Biology,Physics,Chemistry",G1,1,6088,18
107,018,GP,2021,Spring,Biology,G1,2,7554,21
123,018,BV,2021,Spring,"Mathematics,Biology,Chemistry",G1,2,5183,34
165,018,MS,2022,Spring,Mathematics,G1,2,8011,7
183,018,PI,2019,Spring,Biology,G4,2,8281,8
189,018,BV,2023,Spring,Mathematics,G1,3,9353,6
6,019,MS,2022,Fall,"Biology,Chemistry,Physics",G4,1,6825,33
8,019,MS,2020,Spring,"Physics,Mathematics,Chemistry",G1,3,7602,7
151,019,PI,2019,Fall,"Physics,Mathematics",G2,2,6531,35
57,020,PI,2020,Fall,"Physics,Biology",G2,1,10756,21
158,020,GP,2022,Spring,Biology,G2,1,9503,15
169,020,MS,2020,Spring,"Physics,Mathematics,Biology,Chemistry",G4,1,4510,35
181,020,BV,2018,Fall,Mathematics,G2,2,9778,26
185,020,PI,2019,Fall,"Physics,Mathematics",G3,1,6130,37
19,021,MS,2020,Spring,Chemistry,G4,1,6290,31
144,021,MS,2021,Spring,Physics,G1,1,9756,40
10,022,MS,2019,Fall,"Mathematics,Biology",G3,1,8210,34
129,022,BV,2022,Fall,"Mathematics,Biology",G3,2,5301,7
140,022,BV,2022,Spring,Chemistry,G3,2,6739,34
4,023,MS,2018,Fall,Physics,G4,2,6292,15
94,023,GP,2022,Fall,"Physics,Mathematics",G4,3,7565,38
132,023,BV,2021,Spring,"Biology,Mathematics,Physics",G2,3,7869,5
3,024,MS,2018,Spring,"Chemistry,Biology",G4,3,8787,21
50,024,MS,2020,Fall,"Chemistry,Physics,Biology",G2,1,8155,40
0,025,PI,2019,Spring,"Chemistry,Physics",G1,2,5655,11
56,025,GP,2019,Fall,"Biology,Mathematics,Physics,Chemistry",G3,2,8677,29
156,025,MS,2023,Fall,"Physics,Biology,Mathematics",G1,1,6783,18
28,026,PI,2022,Fall,"Mathematics,Physics,Biology",G2,3,10765,40
59,026,PI,2020,Spring,Mathematics,G2,2,8115,27
106,026,BV,2022,Spring,"Chemistry,Physics,Biology",G4,1,9092,7
148,026,PI,2021,Fall,"Biology,Chemistry,Mathematics,Physics",G1,1,9001,20
71,027,PI,2022,Spring,"Physics,Biology,Mathematics,Chemistry",G4,1,6323,29
83,027,BV,2020,Fall,"Physics,Biology,Mathematics",G1,3,10312,21
179,028,PI,2019,Spring,"Chemistry,Biology,Physics,Mathematics",G3,2,9626,17
15,029,MS,2019,Fall,"Physics,Biology,Chemistry,Mathematics",G3,1,8526,5
63,029,PI,2019,Spring,"Biology,Chemistry",G1,2,6519,7
143,029,PI,2023,Spring,"Chemistry,Mathematics,Physics,Biology",G4,1,8087,14
163,029,MS,2021,Spring,"Chemistry,Physics",G3,1,4435,17
105,030,BV,2020,Spring,Mathematics,G1,3,5882,38
34,031,MS,2019,Fall,"Chemistry,Biology",G3,2,9881,19
40,032,BV,2019,Fall,"Biology,Mathematics,Chemistry",G1,3,9634,32
68,032,BV,2019,Fall,Mathematics,G2,2,10461,20
92,032,BV,2018,Spring,"Mathematics,Chemistry,Biology,Physics",G3,3,8802,34
149,033,BV,2020,Spring,"Mathematics,Biology,Chemistry,Physics",G4,1,5144,11
91,034,PI,2018,Fall,"Chemistry,Biology,Mathematics",G3,3,6706,5
114,034,MS,2021,Fall,Chemistry,G3,3,9227,24
145,034,MS,2019,Fall,Mathematics,G2,3,8169,6
178,035,GP,2022,Spring,"Mathematics,Biology",G3,3,4100,32
5,036,GP,2021,Spring,"Chemistry,Mathematics,Biology",G1,2,5481,28
95,036,BV,2018,Fall,Physics,G1,3,5597,15
97,036,BV,2021,Spring,"Chemistry,Physics",G4,1,4169,11
1,037,GP,2023,Spring,"Chemistry,Physics,Mathematics,Biology",G1,3,8445,13
100,037,PI,2019,Spring,"Chemistry,Biology,Mathematics,Physics",G2,1,7101,6
188,037,MS,2018,Fall,"Mathematics,Chemistry,Physics,Biology",G4,1,7635,30
109,038,GP,2023,Spring,"Physics,Chemistry,Mathematics,Biology",G2,1,6032,30
111,038,GP,2022,Fall,"Chemistry,Physics,Mathematics,Biology",G2,3,7373,40
87,039,PI,2021,Spring,Physics,G4,3,4512,30
142,039,MS,2023,Fall,"Mathematics,Physics,Biology",G3,1,8278,40
118,040,BV,2022,Spring,"Physics,Biology",G3,2,4431,29
157,041,GP,2022,Fall,"Biology,Physics,Chemistry,Mathematics",G3,1,4544,17
196,041,BV,2018,Spring,Biology,G1,2,10573,10
49,042,PI,2019,Fall,"Chemistry,Physics,Mathematics",G4,3,10779,7
78,042,MS,2023,Fall,"Physics,Chemistry,Mathematics",G1,3,6945,13
93,042,GP,2019,Fall,"Biology,Physics",G1,3,6968,17
113,042,BV,2018,Spring,"Biology,Physics,Mathematics,Chemistry",G1,3,4940,27
182,042,BV,2020,Fall,"Mathematics,Physics,Chemistry",G3,1,4173,6
131,043,PI,2020,Spring,Mathematics,G3,3,6345,40
168,043,BV,2019,Spring,"Chemistry,Biology",G1,2,9356,31
47,045,MS,2023,Fall,Biology,G2,3,9417,28
130,045,PI,2019,Fall,"Mathematics,Physics",G2,2,8915,11
124,046,BV,2021,Spring,Mathematics,G2,2,9675,8
139,046,PI,2021,Spring,Mathematics,G4,3,10913,13
171,046,PI,2021,Spring,Mathematics,G1,1,9367,13
117,047,MS,2019,Fall,Mathematics,G4,2,9116,9
27,048,BV,2018,Fall,"Physics,Chemistry",G2,3,4382,17
82,048,GP,2020,Fall,"Biology,Chemistry",G3,3,6819,25
167,048,GP,2019,Fall,Chemistry,G3,3,9435,26
32,049,GP,2023,Spring,"Physics,Biology,Mathematics",G1,2,7774,40
36,049,MS,2023,Fall,Physics,G4,3,6172,14
137,049,BV,2019,Fall,"Biology,Chemistry",G4,1,5868,22
85,051,MS,2022,Fall,"Physics,Mathematics",G1,2,10529,32
102,051,PI,2019,Fall,"Biology,Mathematics,Chemistry,Physics",G2,2,6598,11
170,051,PI,2023,Spring,"Mathematics,Chemistry,Physics,Biology",G4,2,4504,34
126,053,MS,2023,Spring,"Physics,Chemistry,Biology,Mathematics",G3,2,6162,38
81,054,PI,2019,Fall,"Biology,Mathematics,Physics",G1,2,7913,6
192,055,GP,2018,Fall,"Mathematics,Physics,Biology,Chemistry",G4,1,4135,28
65,058,GP,2022,Fall,"Chemistry,Biology",G4,1,4273,14
122,058,GP,2019,Fall,"Biology,Chemistry,Physics",G4,3,5235,27
191,058,PI,2023,Fall,"Chemistry,Biology,Physics,Mathematics",G2,1,4766,18
9,060,PI,2021,Fall,"Biology,Chemistry,Mathematics",G1,1,7806,18
73,060,BV,2019,Fall,Mathematics,G4,3,9148,5
135,060,GP,2021,Spring,"Physics,Mathematics,Biology,Chemistry",G1,3,4818,25
79,061,GP,2019,Spring,Mathematics,G3,2,6901,17
24,062,GP,2022,Fall,Chemistry,G4,2,5912,22
172,062,MS,2023,Spring,"Biology,Physics,Chemistry",G4,2,10342,33
11,063,GP,2023,Fall,"Mathematics,Chemistry,Biology,Physics",G3,2,10875,23
62,063,PI,2020,Fall,Chemistry,G1,2,10251,25
110,063,GP,2019,Spring,"Chemistry,Mathematics,Physics",G1,2,9730,8
72,065,MS,2022,Spring,"Chemistry,Mathematics,Physics",G4,3,5779,35
198,066,BV,2018,Fall,"Physics,Mathematics",G3,2,4923,26
55,067,GP,2018,Spring,Biology,G3,2,6091,25
153,067,PI,2022,Spring,"Chemistry,Physics,Mathematics,Biology",G1,2,4844,9
77,068,GP,2022,Spring,"Physics,Mathematics,Chemistry,Biology",G4,1,5704,26
54,069,BV,2022,Fall,Physics,G2,2,7240,27
103,072,MS,2018,Fall,"Mathematics,Chemistry",G2,1,9590,35
134,072,MS,2023,Spring,"Chemistry,Mathematics",G3,3,7523,16
180,072,PI,2019,Fall,"Chemistry,Mathematics,Physics,Biology",G2,1,9229,33
115,073,BV,2022,Spring,"Chemistry,Mathematics,Physics",G4,3,6134,8
14,075,PI,2018,Spring,"Physics,Biology,Mathematics",G2,2,8559,28
26,075,GP,2023,Spring,"Biology,Chemistry,Mathematics,Physics",G3,2,8024,22
60,075,GP,2018,Spring,Biology,G2,1,6108,17
104,075,GP,2023,Fall,"Biology,Chemistry",G2,3,7111,37
159,075,BV,2020,Fall,"Biology,Chemistry",G2,1,6968,38
70,077,MS,2018,Fall,"Chemistry,Mathematics",G3,2,5101,33
12,078,MS,2021,Fall,"Mathematics,Biology,Chemistry",G1,1,8988,12
42,078,BV,2020,Spring,"Mathematics,Biology,Chemistry",G2,1,6305,26
58,078,GP,2021,Fall,Biology,G1,1,8946,6
64,079,BV,2023,Spring,"Mathematics,Biology,Chemistry",G2,3,10463,34
17,080,BV,2018,Spring,"Mathematics,Biology,Chemistry,Physics",G2,1,7996,8
150,080,MS,2021,Fall,"Physics,Mathematics",G1,1,8446,11
45,081,PI,2022,Fall,"Biology,Physics,Chemistry",G4,1,7183,32
152,081,MS,2019,Fall,"Chemistry,Physics,Mathematics,Biology",G2,3,10620,25
195,081,GP,2022,Fall,Biology,G4,1,9253,15
199,081,GP,2020,Spring,"Chemistry,Biology",G2,3,7049,24
23,082,GP,2020,Fall,Biology,G1,2,4340,25
175,082,PI,2023,Fall,"Biology,Mathematics,Physics,Chemistry",G1,1,6742,24
31,083,BV,2020,Fall,"Chemistry,Biology,Physics",G2,1,4279,31
38,083,MS,2021,Spring,"Physics,Biology,Mathematics",G3,2,9591,23
136,083,PI,2022,Spring,"Biology,Physics,Chemistry,Mathematics",G3,3,8543,23
177,083,GP,2021,Spring,Biology,G3,3,8544,28
7,084,GP,2022,Fall,Biology,G4,3,8153,8
52,086,PI,2019,Spring,"Chemistry,Physics,Mathematics",G2,1,10191,38
18,087,PI,2023,Spring,"Chemistry,Mathematics",G2,3,6260,32
116,087,MS,2020,Fall,"Physics,Mathematics,Biology,Chemistry",G3,1,5916,12
51,089,BV,2020,Fall,"Physics,Mathematics,Chemistry,Biology",G3,2,4572,36
69,089,GP,2020,Spring,"Biology,Physics",G1,2,10793,27
119,089,PI,2023,Spring,"Chemistry,Biology,Physics,Mathematics",G4,1,6166,27
41,090,PI,2022,Fall,"Mathematics,Chemistry",G4,2,10686,5
176,091,PI,2019,Fall,"Mathematics,Chemistry,Biology",G2,2,5567,21
75,092,PI,2022,Fall,Physics,G3,3,8398,7
121,092,PI,2019,Spring,"Mathematics,Physics,Biology,Chemistry",G3,3,9369,8
44,093,MS,2020,Spring,"Biology,Chemistry,Physics",G1,2,9005,7
162,093,PI,2023,Fall,"Biology,Mathematics,Chemistry,Physics",G1,1,8013,12
20,094,BV,2023,Spring,"Chemistry,Physics,Mathematics",G2,1,4323,13
22,094,GP,2018,Spring,Physics,G3,2,7204,7
25,094,MS,2022,Fall,"Mathematics,Physics,Biology",G1,3,8800,28
89,094,GP,2023,Fall,"Mathematics,Chemistry,Physics",G2,2,4566,18
155,095,GP,2022,Fall,"Mathematics,Biology",G1,1,6705,25
161,095,PI,2020,Spring,Biology,G2,2,8913,39
141,096,PI,2019,Spring,"Chemistry,Physics,Biology,Mathematics",G2,3,8863,12
146,096,MS,2021,Spring,"Physics,Biology,Chemistry,Mathematics",G1,3,7402,28
190,096,GP,2020,Fall,"Biology,Physics",G2,3,7511,8
194,096,PI,2018,Spring,"Biology,Physics",G3,1,8398,16
166,098,MS,2020,Spring,"Biology,Mathematics",G4,3,4516,19
187,098,MS,2022,Spring,"Physics,Chemistry",G1,3,9693,37
21,099,PI,2023,Fall,"Biology,Mathematics,Physics,Chemistry",G4,2,7420,35
29,099,PI,2021,Fall,"Chemistry,Mathematics,Biology",G3,1,5359,26
80,100,MS,2020,Fall,Biology,G3,3,8589,9
108,100,GP,2020,Fall,"Biology,Physics,Mathematics,Chemistry",G4,2,5070,33